Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Sphaerulina	0.814	0	1.0	196
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae	0.88	0	1.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Teratosphaeriaceae;g__Teratosphaeriaceae	0.731	0	1.0	16
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales	0.801	0	1.0	31
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae	0.58	0	1.0	8
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae;g__Coniozyma	0.635	0	1.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae;g__Dothidea	0.995	0	1.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideaceae;g__Stylodothis	0.75	0	1.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideales incertae sedis;g__Coleophoma	0.68	0	1.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothideales incertae sedis;g__Selenophoma	0.705	0	1.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae	0.704	0	1.0	8
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Columnosphaeria	0.768	0	1.0	18
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Dothiora	0.829	0	1.0	37
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Dothioraceae;g__Sydowia	0.871	0	1.0	16
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes incertae sedis	0.5	0	1.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes incertae sedis;f__Dothideomycetes incertae sedis	0.514	0	1.0	9
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes incertae sedis;f__Dothideomycetes incertae sedis;g__Epicoccum	0.64	0	1.0	9
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes incertae sedis;f__Dothideomycetes incertae sedis;g__Glonium	0.872	0	1.0	5410
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes incertae sedis;f__Dothideomycetes incertae sedis;g__Kirschsteiniothelia	0.854	0	1.0	334
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes incertae sedis;f__Dothideomycetes incertae sedis;g__Repetophragma	0.727	0	1.0	125
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideomycetes incertae sedis;f__Micropeltidaceae;g__Stomiopeltis	0.719	0	1.0	19
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales	0.534	0	1.0	67
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales;f__Hysteriaceae	0.544	0	1.0	82
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales;f__Hysteriaceae;g__Hysteropatella	0.546	0	1.0	68
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Hysteriales;f__Hysteriales incertae sedis;g__Hysteriales incertae sedis	0.68	0	1.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Microthyriales;f__Microthyriaceae;g__Microthyrium	0.543	0	1.0	6
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.819	0	1.0	830
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Amniculicolaceae;g__Murispora	0.76	0	1.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Delitschiaceae;g__Delitschia	0.791	0	1.0	51
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae	0.595	0	1.0	14
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae;g__Didymella	0.856	0	1.0	218
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymosphaeriaceae;g__Didymosphaeria	0.55	0	1.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Dothidotthiaceae;g__Dothidotthia	0.55	0	1.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lentitheciaceae;g__Keissleriella	0.995	0	1.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Leptosphaeria	0.904	0	1.0	24
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae	0.684	0	1.0	2813
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Aposphaeria	0.59	0	1.0	434
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae;g__Herpotrichia	0.54	0	1.0	1859
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae	0.528	0	1.0	6
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae;g__Beverwykella	0.577	0	1.0	22
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Melanommataceae;g__Melanomma	0.54	0	1.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae	0.75	0	1.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;g__Paraconiothyrium	0.68	0	1.0	25
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.763	0	1.0	104
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Chaetosphaeronema	0.574	0	1.0	33
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Loratospora	0.707	0	1.0	167
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Ophiosphaerella	0.682	0	1.0	5
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeodothis	0.69	0	1.0	8
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeosphaeria	0.585	0	1.0	15
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleomassariaceae;g__Pleomassaria	0.666	0	1.0	23
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae	0.717	0	1.0	87
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria	0.991	0	1.0	11
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Cochliobolus	0.6	0	1.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Drechslera	0.543	0	1.0	7
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Lewia	0.76	0	1.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Macroventuria	0.627	0	1.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Pyrenochaeta	0.923	0	1.0	6
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Pyrenophora	0.698	0	1.0	158
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Stagonospora	0.64	0	1.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales incertae sedis;g__Camarosporium	0.82	0	1.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales incertae sedis;g__Massariosphaeria	0.587	0	1.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales incertae sedis;g__Monascostroma	0.593	0	1.0	9
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales incertae sedis;g__Ochrocladosporium	0.823	0	1.0	9
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae	0.57	0	1.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Preussia	0.97	0	1.0	9
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Westerdykella	0.685	0	1.0	24
d__Fungi;p__Ascomycota;c__Eurotiomycetes	0.659	0	1.0	1756
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.674	0	1.0	286
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriaceae;g__Ceramothyrium	0.575	0	1.0	40
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae	0.673	0	1.0	655
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia	0.678	0	1.0	13
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora	0.821	0	1.0	1067
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cyphellophora	0.843	0	1.0	11
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala	0.764	0	1.0	80
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Rhinocladiella	0.53	0	1.0	2
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Sarcinomyces	0.795	0	1.0	56
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Sorocybe	0.847	0	1.0	9154
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Thysanorea	0.611	0	1.0	27
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Veronaea	0.679	0	1.0	17
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales	0.72	0	1.0	380
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Elaphomycetaceae;g__Monascus	0.603	0	1.0	401
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae	0.775	0	1.0	2989
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus	0.537	0	1.0	227
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Chromocleista	0.709	0	1.0	4207
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Eupenicillium	0.645	0	1.0	1229
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Eurotium	0.561	0	1.0	56
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Hamigera	0.835	0	1.0	407
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium	0.921	0	1.0	5174
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales	0.5	0	1.0	1
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Arachnomycetaceae;g__Arachnomyces	0.603	0	1.0	181
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__Verrucariaceae	0.617	0	1.0	250
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__Verrucariaceae;g__Agonimia	0.552	0	1.0	31
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Verrucariales;f__Verrucariaceae;g__Clavascidium	0.661	0	1.0	20
d__Fungi;p__Ascomycota;c__Laboulbeniomycetes;o__Pyxidiophorales;f__Pyxidiophoraceae;g__Pyxidiophora	0.575	0	1.0	4
d__Fungi;p__Ascomycota;c__Lecanoromycetes	0.566	0	1.0	229
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Agyriales;f__Agyriaceae;g__Placynthiella	0.998	0	1.0	6
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales	0.602	0	1.0	12
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Cetradoniaceae;g__Cetradonia	0.873	0	1.0	7
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Dactylosporaceae;g__Dactylospora	0.62	0	1.0	1
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecanoraceae;g__Lecanora	0.848	0	1.0	5
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecideaceae	0.5	0	1.0	1
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Lecideaceae;g__Hypocenomyce	0.544	0	1.0	7
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Parmeliaceae	0.812	0	1.0	10
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Parmeliaceae;g__Masonhalea	0.64	0	1.0	2
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Physciaceae;g__Phaeophyscia	1.0	0	1.0	1
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanoromycetes incertae sedis;f__Lecanoromycetes incertae sedis;g__Furcaspora	0.585	0	1.0	4
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanoromycetes incertae sedis;f__Thelocarpaceae;g__Thelocarpon	0.673	0	1.0	4
d__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Ostropales	0.66	0	1.0	1
