Taxon_Name	Level	Slashpile1	Slashpile10	Slashpile11	Slashpile13	Slashpile14	Slashpile15	Slashpile16	Slashpile17	Slashpile18	Slashpile19	Slashpile2	Slashpile20	Slashpile21	Slashpile22	Slashpile23	Slashpile24	Slashpile25	Slashpile26	Slashpile27	Slashpile28	Slashpile3	Slashpile4	Slashpile40	Slashpile5	Slashpile6	Slashpile7	Slashpile8	Slashpile9
Collophora	genus	0	0	0	0	0	19	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
Geomyces	genus	1	0	0	0	0	0	1	2	0	0	1	0	0	10	3	0	0	0	1	0	0	0	0	0	0	0	0	0
Leohumicola	genus	88	38	2	2	146	2	112	3292	5	60	2	35	0	614	2316	2	0	3733	36	1	58	1074	27	8	34	4	1	2
Meliniomyces	genus	2	153	21	14	45	12	0	1	0	3	440	0	1	1	1	0	1	0	2	1	3	274	34	12	56	9	237	4
Alatospora	genus	3	0	0	0	0	1	0	0	0	0	0	0	0	8	145	0	0	1	1	0	0	0	0	0	0	2	1	5
Leotiomycetes_unidentified_1	genus	8	4	37	5	1	1	7	3	0	0	4	0	1	979	10	12	0	1	7	0	10	5	1	1176	4	5	7	3
Rhytismataceae	family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Rhytismataceae_unidentified	genus	0	0	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0
Antarctomyces	genus	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Orbiliomycetes	class	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dactylellina	genus	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Orbiliaceae_unidentified	genus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0
Orbiliomycetes_unidentified_1	genus	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Pezizomycetes	class	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Pezizales	order	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Morchella	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Verpa	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Peziza	genus	2	0	0	2	0	1	0	39	13	7	0	1	1	3	6	0	30	0	2	9	7	1	0	5	2	3	1	1
Sarcosphaera	genus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pezizales_unidentified_1	genus	3	1	0	99	0	0	6	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	3	3	0	0
Pyronemataceae	family	0	1	0	0	2	1	0	0	0	2	2	0	0	0	3	1	2	0	8	0	4	0	0	5	1	22	5	0
Geopora	genus	0	0	0	0	0	0	0	2	0	1	0	0	1	1	1	0	3	0	0	0	0	0	0	0	1	0	0	0
Gilkeya	genus	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pustularia	genus	0	10	99	0	3	48	0	2	1	1	0	0	0	0	1	105	2	0	0	0	0	6	1	0	0	106	0	0
Pyronema	genus	0	0	0	0	0	0	0	0	1	2	0	0	0	2	6	0	4	0	0	0	3	0	0	0	0	0	0	0
Pyronemataceae_unidentified	genus	5	0	0	1	0	0	0	1	0	0	460	0	0	0	1	1	0	1	0	0	3	0	0	2631	457	120	1929	1
Sphaerosporella	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Tricharina	genus	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichophaea	genus	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	1	22	3	0
Wilcoxina	genus	3798	3143	1240	3559	2364	1611	20201	5538	9403	7760	737	6385	8134	20	15	4447	23932	816	1819	20275	4267	184	3424	124	5	2970	1072	1450
Plectania	genus	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Tuber	genus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pezizomycetes_unidentified_1	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	1	0	0	7
Saccharomycetales	order	2	0	2	1	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	2	0	0	0	4
Basidioascus	genus	0	2	0	8	4	0	0	0	0	0	3	3	0	0	6	74	0	226	0	0	58	1	1	0	0	0	2	0
Candida	genus	11	36	9	2	0	0	5	0	0	0	0	0	2	0	5	0	0	0	0	0	1	0	1	0	1	0	0	1
Incertae_sedis_11_unidentified	genus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Schwanniomyces	genus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lipomyces	genus	77	58	93	24	28	17	35	2	0	3	46	0	23	21	57	26	0	3	59	0	413	515	40	357	40	37	260	52
Zygosaccharomyces	genus	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Saccharomycetales_unidentified_1	genus	0	0	1	6	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	1
Sugiyamaella	genus	5	2	2	3	4	2	0	0	0	1	31	1	0	1	9	0	0	0	1	0	6	2	1	2	0	4	4	1
Sordariomycetes	class	132	15	5	4	4	57	34	0	1	1	1	6	235	3	18	0	0	0	4	0	33	3	4	41	11	7	1	15
Chaetosphaeria	genus	0	0	1	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
Chaetosphaeriaceae_unidentified	genus	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Chloridium	genus	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coniochaetaceae	family	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	2
Coniochaeta	genus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lecythophora	genus	2	1	4	15	3	2	0	1	5	3	0	8	4	6	12	0	0	0	1	0	8	8	3	3	3	13	6	1
Coniochaetales_unidentified_1	genus	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	11	0	0	0	0
Hypocreales	order	12	0	0	2	0	3	7	0	0	1	2	53	24	1	22	1	1	0	0	0	5	0	0	46	1	8	1	7
Clonostachys	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Hydropisphaera	genus	12	0	1	0	0	0	14	0	0	0	0	0	15	0	3	0	0	0	0	0	10	3	0	12	9	0	1	0
Clavicipitaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	3	1	0	2	0	0	0	0
Pochonia	genus	0	5	6	3	1	0	0	0	0	0	7	3	0	0	2	0	0	0	0	0	0	5	2	0	0	1	0	0
Beauveria	genus	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Cordyceps	genus	0	0	0	0	1	0	2	0	13	0	0	0	0	2	20	0	0	0	0	0	1	0	0	0	0	0	0	0
Isaria	genus	0	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	11	1	0	0	0	0	0	0	0	0	0
Lecanicillium	genus	63	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Simplicillium	genus	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hypocreaceae	family	12	0	2	3	0	2	0	0	0	0	1	9	15	5	14	1	0	0	0	0	7	0	1	3	0	0	0	4
Hypocrea	genus	7	0	11	0	10	3	0	3	0	0	1	50	1	4	32	0	2	0	2	0	4	3	0	5	0	0	2	1
Hypocreaceae_unidentified	genus	2	1	0	0	0	0	0	1	0	0	0	3	0	4	64	0	1	0	0	0	3	1	0	1	1	0	0	2
Hypomyces	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Trichoderma	genus	27	0	7	0	1	7	0	1	1	0	0	470	26	5	19	0	0	0	0	0	0	0	0	0	0	1	0	0
