Taxon_Name	MeanBootstrapValue	MeanLengthMerged	PercentageAsPairs	Total
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporales_unidentified;g__Pleosporales_unidentified_1	0.99	298	0.0	520
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Sporormiaceae_unidentified	0.88	297	0.0	2
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Sporormiaceae;g__Sporormiella	0.813	297	0.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Tubeufiaceae;g__Helicoma	0.972	326	0.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Tubeufiaceae;g__Tubeufiaceae_unidentified	0.973	300	0.0	3
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Venturiaceae_1	0.64	295	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Venturiaceae_1;g__Rhizosphaera	0.99	310	0.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Venturiaceae_1;g__Sympoventuria	0.67	297	0.0	4
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Venturiaceae_1;g__Venturia	0.771	295	0.0	63
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Sympoventuriaceae;g__Sympoventuriaceae_unidentified	0.86	298	0.0	1
d__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturiaceae_unidentified	0.772	292	0.0	82
d__Fungi;p__Ascomycota;c__Eurotiomycetes	0.817	309	0.0	181
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.832	310	0.0	2118
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Chaetothyriales_unidentified;g__Chaetothyriales_unidentified_1	0.798	310	0.0	4355
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae	0.539	313	0.0	286
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Capronia	0.986	312	0.0	104
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Cladophialophora	0.979	315	0.0	548
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Exophiala	0.926	325	0.0	22
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Herpotrichiellaceae_unidentified	0.713	312	0.0	5531
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales;f__Herpotrichiellaceae;g__Phaeococcomyces	1.0	304	0.0	4
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales	0.778	304	0.0	4
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Eurotiales_unidentified;g__Eurotiales_unidentified_1	0.927	310	0.0	7
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae	0.956	307	0.0	461
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Aspergillus	0.589	310	0.0	8
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Eupenicillium	0.51	305	0.0	1
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Paecilomyces	0.823	332	0.0	6
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Penicillium	0.964	309	0.0	13958
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Rasamsonia	0.997	312	0.0	25
d__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Trichocomaceae;g__Talaromyces	0.906	302	0.0	84
