Taxon_Name	Level	Slashpile1	Slashpile10	Slashpile11	Slashpile13	Slashpile14	Slashpile15	Slashpile16	Slashpile17	Slashpile18	Slashpile19	Slashpile2	Slashpile20	Slashpile21	Slashpile22	Slashpile23	Slashpile24	Slashpile25	Slashpile26	Slashpile27	Slashpile28	Slashpile3	Slashpile4	Slashpile40	Slashpile5	Slashpile6	Slashpile7	Slashpile8	Slashpile9
Kurtzmanomyces	genus	0	0	1	0	0	1	2	0	0	2	0	0	0	0	0	0	1	0	0	0	1	4	2	1	0	0	0	0
Spiculogloea	genus	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mycogloea	genus	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0
Atractiella	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Helicogloea	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
basidiomycete	genus	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Classiculaceae	family	17	31	72	80	334	177	9	137	0	15	9	237	4	22	97	318	0	146	95	0	177	43	3	6	5	31	25	138
Classicula	genus	2	3	2	3	16	5	1	1	0	1	1	8	0	1	3	9	0	3	0	0	4	2	1	0	1	4	1	8
Jaculispora	genus	0	1	0	1	0	1	0	0	0	0	0	3	0	0	3	4	0	2	0	0	1	0	0	0	0	1	0	0
Cystobasidiomycetes	class	6	20	19	22	91	78	5	57	0	21	3	61	0	12	32	195	1	41	38	0	77	25	1	9	9	14	17	59
Cystobasidiaceae	family	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cystobasidium	genus	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodotorula 1 -Cystobasidiales	genus	0	0	1	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyrenella	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Erythrobasidiaceae	family	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Rhodotorula 2 -Erythrobasidiales	genus	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calocera	genus	7	0	0	0	1	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	12	1	0	43	5	2	0	5
Entorrhiza	genus	77	0	0	0	0	0	0	0	0	0	0	4	184	0	1	0	0	0	1	0	5	0	0	6	2	7	1	30
Exobasidiomycetes	class	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Exobasidiaceae	family	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Exobasidium	genus	0	0	3	2	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Malassezia	genus	2	0	0	0	0	9	0	0	0	0	0	0	0	1	0	1	8	0	0	1	2	0	0	1	0	0	0	0
Microstromatales	order	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Microbotryomycetes	class	55	10	25	12	98	41	8	0	1	1	187	1	14	10	2	4	1	2	4	0	51	336	5	22	26	15	56	11
Leucosporidiales incertae sedis	family	16	7	9	7	18	22	2	0	0	0	38	1	47	1	3	0	3	0	1	0	13	179	0	15	13	24	44	6
Leucosporidium	genus	46	19	61	30	93	59	60	0	0	2	156	4	15	6	9	6	2	0	6	0	86	623	12	25	24	23	155	32
Mastigobasidium	genus	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0
Microbotryales	order	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ustilentyloma	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Kriegeria	genus	186	48	39	24	236	372	13	0	15	7	266	4	43	18	16	10	10	1	3	0	139	641	6	72	40	31	98	83
Sporidiobolales incertae sedis	family	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Rhodotorula 4 -Sporidiobolales	genus	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Sporidiobolus	genus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
Tuberculina	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Herpobasidium	genus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Platygloea	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Pucciniastrum	genus	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tremellomycetes	class	8	3	62	6	3	9	3	0	0	0	27	6	0	0	8	3	0	1	0	0	13	8	4	14	18	3	32	3
Cystofilobasidiaceae	family	1	0	0	0	0	2	2	0	0	0	0	1	0	1	0	0	0	0	0	0	7	0	0	1	1	0	0	2
Guehomyces	genus	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
Mrakia	genus	0	1	1	0	0	0	0	0	0	8	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0
Udeniomyces	genus	6	0	0	0	0	2	3	0	0	0	0	7	2	3	4	0	0	0	0	0	9	0	0	0	1	0	0	6
Tremellales	order	19	5	165	33	24	33	26	0	5	0	51	26	6	3	29	47	1	3	13	0	52	40	10	41	149	7	84	13
Elmerina	genus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Christiansenia	genus	122	56	631	126	81	154	34	2	7	4	347	74	19	3	76	36	1	3	12	1	284	162	58	235	482	20	512	53
Fibulobasidium	genus	1	0	2	0	3	1	0	0	0	0	0	0	10	2	4	4	0	0	2	0	1	0	0	0	0	0	0	2
Tremellaceae	family	41	6	39	13	4	7	4	0	4	0	0	11	3	2	9	5	0	0	3	0	46	15	1	20	22	2	16	14
Asterotremella	genus	5	5	19	4	5	2	65	0	0	0	2	95	0	4	68	1	0	1	4	0	10	1	1	2	9	0	3	15
Bullera	genus	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Cryptococcus	genus	8	1	2	2	0	13	8	0	9	0	0	0	0	2	3	0	0	0	0	0	10	7	1	8	14	2	1	1
Tremella	genus	4	0	0	0	0	4	0	0	0	0	0	1	6	6	5	27	0	1	2	0	1	0	0	0	0	0	0	8
Kwoniella	genus	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ustilaginaceae	family	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Melanopsichium	genus	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Schizonella	genus	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Tranzscheliella	genus	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ustilago	genus	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
Catenomyces	genus	0	0	3	2	2	1	2	3	0	3	4	1	0	0	1	0	0	0	0	0	1	0	0	4	0	2	18	1
Catenophlyctis	genus	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	0	1	1
Chytridiomycota	phylum	0	2	1	1	0	2	3	1	26	2	0	4	4	11	1	0	8	0	0	2	1	1	1	12	1	4	4	0
Chytridiomycetes	class	19	5	7	8	5	2	37	7	32	4	0	38	6	29	27	4	6	5	1	6	3	2	1	16	3	4	43	6
Chytridiales	order	2	2	0	3	0	3	0	2	0	0	0	1	0	0	2	0	0	0	0	0	0	0	1	4	0	3	0	1
Entophlyctis	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Chytridiaceae	family	1	0	1	2	0	1	0	0	0	2	0	2	2	22	3	1	0	0	1	0	0	0	0	9	0	4	20	0
Chytridiaceae	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
Chytridium	genus	10	0	1	5	0	11	0	9	0	1	0	27	1	9	8	0	0	0	0	0	1	2	0	13	1	5	3	4
Phlyctochytrium	genus	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Podochytrium	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Endochytriaceae	family	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Catenochytridium	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	2	73	0	0	0	0	0	0	0	0	0	0	0	0	0
Synchytrium	genus	0	5	0	6	9	15	0	0	0	0	0	0	2	0	0	3	0	0	9	0	0	0	0	4	0	4	6	16
Cladochytriaceae	family	1	0	0	0	0	0	0	0	0	0	0	1	2	14	12	0	0	0	0	0	0	0	0	1	0	0	0	0
Cylindrochytridium	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0
Septochytrium	genus	1	0	0	0	0	0	0	0	0	0	0	8	3	24	27	0	0	0	0	0	0	0	0	1	0	0	0	0
Lobulomycetales	order	0	1	0	0	0	1	0	0	5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
