Taxon_Name	Level	Slashpile1	Slashpile10	Slashpile11	Slashpile13	Slashpile14	Slashpile15	Slashpile16	Slashpile17	Slashpile18	Slashpile19	Slashpile2	Slashpile20	Slashpile21	Slashpile22	Slashpile23	Slashpile24	Slashpile25	Slashpile26	Slashpile27	Slashpile28	Slashpile3	Slashpile4	Slashpile40	Slashpile5	Slashpile6	Slashpile7	Slashpile8	Slashpile9
Sandaracinobacter	genus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
Sandarakinorhabdus	genus	0	0	0	5	0	0	0	1	10	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0
Sphingobium	genus	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	2	0	0	0	0	1	0	0	0
Sphingomonas	genus	15	46	26	5	10	10	47	23	198	15	12	161	1	60	50	2	289	39	8	204	15	61	104	22	62	5	36	1
Sphingopyxis	genus	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sphingorhabdus	genus	0	1	0	1	0	1	1	0	2	0	0	3	0	1	1	0	1	0	0	0	1	2	0	1	0	0	0	0
Sphingosinicella	genus	2	9	4	1	3	1	3	4	19	3	0	14	0	21	7	1	51	3	0	49	1	10	5	4	6	2	9	0
Stakelama	genus	0	2	2	0	0	0	4	1	37	0	0	4	0	1	4	0	8	1	0	1	1	0	0	0	1	0	2	0
Betaproteobacteria	class	1648	584	597	1362	952	1115	549	1140	1157	825	87	913	958	1521	995	2023	1346	545	579	1056	1473	602	1045	827	642	902	826	1018
Burkholderiales	order	264	165	147	376	146	90	274	492	578	229	10	386	133	612	306	287	686	157	71	545	152	124	308	148	97	113	144	127
Alcaligenaceae	family	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0
Advenella	genus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
